iter	Accuracy	Logloss
0	0.6251788269	0.6906132839
1	0.6942060086	0.688479207
2	0.6942060086	0.686022386
3	0.6942060086	0.6836698767
4	0.6942060086	0.6814594675
5	0.6942060086	0.6793927583
6	0.6942060086	0.6773509847
7	0.6942060086	0.6751726096
8	0.6942060086	0.6732032174
9	0.6942060086	0.6713035867
10	0.6942060086	0.6691599761
11	0.6944742489	0.6673032751
12	0.6953683834	0.6655078413
13	0.6943848355	0.6634298675
14	0.6943848355	0.661402961
15	0.6943848355	0.6594503034
16	0.6943848355	0.6577435876
17	0.694295422	0.6560475215
18	0.694295422	0.6541303002
19	0.694295422	0.6524808461
20	0.694295422	0.6508404754
21	0.69527897	0.6493290951
22	0.6951895565	0.6478229177
23	0.6951895565	0.6466164857
24	0.6951895565	0.6451800913
25	0.6951895565	0.6434131086
26	0.6942060086	0.6416910824
27	0.6942060086	0.6402825512
28	0.6949213162	0.6386568449
29	0.6946530758	0.6375373369
30	0.6950107296	0.6361114684
31	0.69527897	0.6345249034
32	0.69527897	0.6329772654
33	0.69527897	0.6318736436
34	0.6947424893	0.6302656362
35	0.6947424893	0.6292103619
36	0.6947424893	0.6278918916
37	0.6945636624	0.6264052603
38	0.6951001431	0.6250704215
39	0.6951001431	0.6240593443
40	0.6951001431	0.6227997225
41	0.6951001431	0.6214243421
42	0.6951001431	0.6200221637
43	0.6945636624	0.6186595858
44	0.6949213162	0.6174956464
45	0.6950107296	0.6160356863
46	0.6950107296	0.614677134
47	0.6950107296	0.6137453015
48	0.6951895565	0.6123353977
49	0.6950107296	0.6111458542
50	0.6949213162	0.6100392269
51	0.6950107296	0.6091812094
52	0.6951895565	0.607828219
53	0.6951001431	0.6064849115
54	0.6951895565	0.6055791767
55	0.6950107296	0.6042698389
56	0.6950107296	0.6030578791
57	0.6946530758	0.6017835273
58	0.6946530758	0.6005425527
59	0.6949213162	0.5995162591
60	0.6951001431	0.5984694278
61	0.6949213162	0.5972477989
62	0.6949213162	0.5964679841
63	0.6949213162	0.595270743
64	0.6949213162	0.5944337063
65	0.6950107296	0.5936351176
66	0.6950107296	0.5923896787
67	0.6950107296	0.5912440526
68	0.6951001431	0.5904707594
69	0.6951001431	0.5897097589
70	0.6951001431	0.5885338323
71	0.6951001431	0.5873529507
72	0.6950107296	0.5862488248
73	0.6950107296	0.585455563
74	0.6949213162	0.5845415474
75	0.6948319027	0.583634845
76	0.6950107296	0.5826781523
77	0.6950107296	0.5819048895
78	0.6949213162	0.5808648896
79	0.6949213162	0.5798137768
80	0.6949213162	0.5790908419
81	0.6950107296	0.5781800537
82	0.6949213162	0.5774931301
83	0.6949213162	0.5764959658
84	0.6951895565	0.5756012657
85	0.7445457797	0.5748900191
86	0.7445457797	0.5739976292
87	0.7445457797	0.5730443768
88	0.7445457797	0.5720291857
89	0.7445457797	0.5709459052
90	0.7445457797	0.570229588
91	0.7665414878	0.569541758
92	0.7664520744	0.5685559876
93	0.7664520744	0.567878369
94	0.7664520744	0.5668582608
95	0.7664520744	0.5661927693
96	0.7677932761	0.5655230022
97	0.7677932761	0.5648777748
98	0.7677932761	0.5638658115
99	0.7677932761	0.5632155221
100	0.7686874106	0.5625908815
101	0.7678826896	0.5617548165
102	0.768776824	0.5608296002
103	0.7677932761	0.5601777387
104	0.7677932761	0.5595506944
105	0.7678826896	0.5589393752
106	0.768776824	0.5581079386
107	0.7686874106	0.5571561471
108	0.7686874106	0.5565375166
109	0.7694027182	0.5558989402
110	0.7694027182	0.5552908963
111	0.7694027182	0.5544070018
112	0.7693133047	0.5538105497
113	0.7693133047	0.5529686674
114	0.7693133047	0.5521783065
115	0.7694027182	0.551579539
116	0.7694027182	0.5510109113
117	0.7693133047	0.5504153827
118	0.7693133047	0.5495516107
119	0.7781652361	0.5489520735
120	0.7781652361	0.5483797449
121	0.7781652361	0.5478039164
122	0.7781652361	0.5472155318
123	0.7781652361	0.5463374587
124	0.7783440629	0.5455028356
125	0.7783440629	0.5449390263
126	0.7783440629	0.5443615752
127	0.7783440629	0.5436191243
128	0.7783440629	0.5430661643
129	0.7783440629	0.5423165602
130	0.7783440629	0.5415227675
131	0.7782546495	0.5407779921
132	0.7785228898	0.5400536724
133	0.7785228898	0.5393553937
134	0.7785228898	0.5388276577
135	0.776555794	0.5381161263
136	0.776555794	0.537394363
137	0.776555794	0.5368400051
138	0.7813841202	0.536299229
139	0.7785228898	0.5357752693
140	0.7816523605	0.5352394662
141	0.7816523605	0.5346859488
142	0.7815629471	0.5341772752
143	0.7795958512	0.5336625586
144	0.7949749642	0.5331637705
145	0.781741774	0.5326337314
146	0.7797746781	0.5319528086
147	0.781741774	0.5314498979
148	0.781741774	0.5309529406
