iter	Passed	Remaining
0	9	13854
1	17	12810
2	30	15360
3	35	13358
4	42	12784
5	52	13017
6	61	13068
7	67	12605
8	73	12134
9	80	12018
10	93	12605
11	104	12951
12	115	13176
13	120	12776
14	126	12569
15	131	12234
16	137	12022
17	145	11947
18	153	11980
19	158	11743
20	164	11604
21	175	11822
22	183	11798
23	190	11714
24	202	11927
25	216	12262
26	229	12536
27	239	12606
28	246	12508
29	257	12611
30	264	12512
31	269	12373
32	276	12288
33	281	12141
34	302	12646
35	315	12830
36	327	12933
37	343	13231
38	357	13380
39	370	13509
40	381	13578
41	392	13639
42	408	13824
43	432	14309
44	452	14644
45	482	15259
46	495	15329
47	507	15337
48	519	15377
49	529	15347
50	533	15169
51	559	15581
52	564	15404
53	576	15446
54	586	15405
55	593	15298
56	598	15158
57	604	15028
58	612	14954
59	617	14822
60	624	14723
61	637	14777
62	649	14823
63	655	14700
64	660	14575
65	673	14642
66	681	14583
67	687	14470
68	693	14382
69	698	14279
70	704	14179
71	721	14312
72	728	14231
73	733	14139
74	739	14047
75	749	14037
76	759	14032
77	774	14113
78	785	14121
79	794	14107
80	825	14458
81	834	14423
82	848	14488
83	853	14395
84	867	14446
85	874	14385
86	890	14468
87	900	14448
88	909	14419
89	916	14361
90	923	14293
91	929	14228
92	935	14152
93	940	14071
94	952	14084
95	966	14139
96	974	14088
97	987	14126
98	994	14067
99	1041	14587
100	1057	14654
101	1079	14797
102	1091	14808
103	1111	14917
104	1128	14997
105	1141	15005
106	1157	15071
107	1176	15167
108	1187	15154
109	1198	15145
110	1204	15069
111	1212	15025
112	1223	15011
113	1238	15053
114	1248	15034
115	1264	15082
116	1273	15051
117	1281	15006
118	1288	14951
119	1295	14893
120	1300	14826
121	1311	14818
122	1320	14781
123	1326	14721
124	1335	14686
125	1340	14617
126	1353	14629
127	1361	14597
128	1370	14560
129	1380	14543
130	1386	14485
131	1401	14524
132	1413	14523
133	1425	14531
134	1431	14471
135	1436	14411
136	1443	14358
137	1455	14364
138	1471	14404
139	1483	14408
140	1498	14438
141	1511	14455
142	1516	14390
143	1530	14409
144	1536	14362
145	1542	14307
146	1548	14256
147	1554	14200
148	1567	14215
149	1576	14185
150	1588	14194
151	1593	14130
152	1599	14079
153	1611	14084
154	1621	14073
155	1638	14118
156	1651	14129
157	1658	14082
158	1663	14026
159	1670	13991
160	1675	13937
161	1681	13885
162	1686	13830
163	1691	13781
164	1696	13729
165	1702	13678
166	1707	13629
167	1713	13581
168	1718	13537
169	1726	13503
170	1731	13456
171	1736	13410
172	1742	13364
173	1747	13318
174	1752	13270
175	1758	13225
176	1763	13178
177	1768	13133
178	1773	13085
179	1778	13042
180	1783	12995
181	1788	12950
182	1793	12908
183	1798	12863
184	1803	12820
185	1808	12779
186	1814	12738
187	1822	12715
188	1828	12683
189	1837	12671
190	1844	12640
191	1851	12610
192	1859	12592
193	1870	12593
194	1881	12593
195	1893	12595
196	1906	12611
197	1922	12639
198	1932	12632
199	1945	12642
200	1952	12620
201	1963	12617
202	1978	12639
203	1989	12638
204	2002	12651
205	2011	12637
206	2021	12625
207	2032	12625
208	2041	12613
209	2051	12602
210	2057	12568
211	2062	12530
212	2068	12499
213	2074	12463
214	2086	12471
215	2092	12438
216	2099	12413
217	2109	12402
218	2114	12369
219	2129	12389
220	2138	12378
221	2153	12399
222	2162	12381
223	2168	12350
224	2173	12317
225	2179	12288
226	2185	12254
227	2190	12220
228	2195	12186
229	2200	12151
230	2208	12131
231	2215	12108
232	2221	12080
233	2227	12049
234	2232	12017
235	2237	11983
236	2242	11952
237	2248	11922
238	2254	11896
239	2261	11870
240	2266	11842
241	2273	11817
242	2282	11807
243	2293	11804
244	2299	11777
245	2307	11764
246	2314	11742
247	2321	11721
248	2328	11696
249	2333	11669
250	2345	11671
251	2351	11647
252	2356	11616
253	2362	11587
254	2367	11559
255	2373	11534
256	2379	11509
257	2385	11484
258	2391	11457
259	2396	11428
260	2402	11406
261	2408	11378
262	2413	11353
263	2420	11330
264	2424	11300
265	2429	11271
266	2434	11243
267	2440	11219
268	2445	11191
269	2450	11164
270	2455	11135
271	2460	11109
272	2470	11102
273	2475	11077
274	2481	11056
275	2488	11034
276	2493	11011
277	2499	10988
278	2505	10963
279	2510	10938
280	2516	10915
281	2521	10888
282	2525	10861
283	2530	10835
284	2535	10807
285	2539	10780
286	2544	10754
287	2549	10730
288	2557	10718
289	2567	10713
290	2583	10734
291	2592	10727
292	2606	10738
293	2618	10740
294	2624	10719
295	2629	10697
296	2635	10673
297	2641	10655
298	2646	10630
299	2653	10615
300	2664	10613
301	2670	10592
302	2676	10573
303	2685	10565
304	2695	10561
305	2701	10540
306	2707	10521
307	2713	10501
308	2724	10499
309	2730	10480
310	2737	10465
311	2744	10448
312	2751	10435
313	2761	10428
314	2766	10408
315	2774	10396
316	2781	10381
317	2796	10394
318	2805	10385
319	2811	10368
320	2816	10345
321	2823	10328
322	2828	10307
323	2832	10282
324	2838	10262
325	2844	10243
326	2853	10234
327	2858	10214
328	2864	10194
329	2880	10211
330	2887	10199
331	2893	10178
332	2898	10157
333	2905	10143
334	2910	10121
335	2915	10100
336	2920	10079
337	2928	10069
338	2934	10049
339	2938	10027
340	2943	10005
341	2949	9985
342	2954	9964
343	2965	9965
344	2973	9953
345	2979	9937
346	2984	9916
347	2989	9895
348	2994	9874
349	2998	9853
350	3003	9832
351	3007	9809
352	3012	9788
353	3017	9768
354	3022	9747
355	3027	9729
356	3032	9709
357	3037	9689
358	3042	9670
359	3049	9655
360	3057	9647
361	3063	9630
362	3069	9613
363	3075	9598
364	3081	9581
365	3086	9561
366	3093	9551
367	3099	9534
368	3104	9514
369	3110	9499
370	3115	9479
371	3120	9461
372	3130	9458
373	3135	9440
374	3141	9424
375	3147	9408
376	3152	9391
377	3159	9378
378	3165	9362
379	3171	9347
